id,value
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_State1,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_State2,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_W_in,9090
DSC.Leiden CF900.Leiden_CF_FP_CF_FP_W_out,9090
DSC.Leiden CF900.Leiden_CF_Impedance_Bridge_CF_IB_TA,9090
DSC.Leiden CF900.Leiden_CF_Impedance_Bridge_CF_IB_TB,9090
DSC.Leiden CF900.Leiden_CF_Impedance_Bridge_CF_IB_TC,9090
DSC.Leiden CF900.Leiden_CF_Impedance_Bridge_CF_IB_TD,9090
DSC.Leiden CF900.Leiden_CF_Impedance_Bridge_CF_IB_TE,9090
DSC.Leiden CF900.Leiden_CF_Magnetic_Field_CF_Field_X,9090
DSC.Leiden CF900.Leiden_CF_Magnetic_Field_CF_Field_Y,9090
DSC.Leiden CF900.Leiden_CF_Magnetic_Field_CF_Field_Z,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_I0,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_I1,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_I2,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_I3,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R0,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R1,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R2,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R3,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R4,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R5,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R6,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_R7,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T0,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T1,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T2,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T3,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T4,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T5,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T6,9090
DSC.Leiden CF900.Leiden_CF_TC_CF_TC_T7,9090
DSC.Leiden CF900.RuO2_T,9090
DSC.Leiden CF900.RuO2_Z,9090
DSC.Leiden CF900.Vbg,9090
DSC.Leiden CF900.VRM_VrmSweepMode,9090
DSC.Leiden CF900.VRM_VrmSweepRate,9090
DSC.Leiden CF900.VRM_VrmSweepTime,9090
DSC.Leiden CF900.VRM_VrmX_setpT,9090
DSC.Leiden CF900.VRM_VrmY_setpT,9090
DSC.Leiden CF900.VRM_VrmZ_setpT,9090
DSC.Leiden CF900.VRM_X_at_rest,9090
DSC.Leiden CF900.VRM_X_magA,9090
DSC.Leiden CF900.VRM_X_magT,9090
DSC.Leiden CF900.VRM_X_meas_A,9090
DSC.Leiden CF900.VRM_X_meas_V,9090
DSC.Leiden CF900.VRM_X_outA,9090
DSC.Leiden CF900.VRM_X_outT,9090
DSC.Leiden CF900.VRM_X_setpT,9090
DSC.Leiden CF900.VRM_X_Status,9090
DSC.Leiden CF900.VRM_X_sweep
DSC.Leiden CF900.VRM_X_sweep_A,9090
DSC.Leiden CF900.VRM_Y_at_rest,9090
DSC.Leiden CF900.VRM_Y_magA,9090
DSC.Leiden CF900.VRM_Y_magT,9090
DSC.Leiden CF900.VRM_Y_meas_A,9090
DSC.Leiden CF900.VRM_Y_meas_V,9090
DSC.Leiden CF900.VRM_Y_outA,9090
DSC.Leiden CF900.VRM_Y_outT,9090
DSC.Leiden CF900.VRM_Y_setpT,9090
DSC.Leiden CF900.VRM_Y_Status,9090
DSC.Leiden CF900.VRM_Y_sweep
DSC.Leiden CF900.VRM_Y_sweep_A,9090
DSC.Leiden CF900.VRM_Z_at_rest,9090
